time,Abitibi-Témiscamingue interruptions,Abitibi-Témiscamingue customers,Bas-Saint-Laurent interruptions,Bas-Saint-Laurent customers,Capitale-Nationale interruptions,Capitale-Nationale customers,Centre-du-Québec interruptions,Centre-du-Québec customers,Chaudière-Appalaches interruptions,Chaudière-Appalaches customers,Côte-Nord interruptions,Côte-Nord customers,Estrie interruptions,Estrie customers,Gaspésie - Îles-de-la-Madeleine interruptions,Gaspésie - Îles-de-la-Madeleine customers,Lanaudière interruptions,Lanaudière customers,Laurentides interruptions,Laurentides customers,Laval interruptions,Laval customers,Mauricie interruptions,Mauricie customers,Montréal interruptions,Montréal customers,Montérégie interruptions,Montérégie customers,Nord-du-Québec interruptions,Nord-du-Québec customers,Outaouais interruptions,Outaouais customers,Saguenay - Lac-Saint-Jean interruptions,Saguenay - Lac-Saint-Jean customers,Across Québec interruptions,Across Québec customers
Sat Apr  8 09:27:58 2023,0,0,0,0,0,0,2,5,5,62,0,0,8,28,0,0,120,4470,255,9122,498,29641,2,5,1133,187745,699,32617,1,16,664,27644,2,9,3389,291364
Sat Apr  8 09:42:59 2023,0,0,0,0,0,0,2,5,4,50,0,0,7,27,0,0,118,3038,253,8880,484,29314,2,5,1133,186390,702,32415,1,16,665,27613,2,9,3373,287762
Sat Apr  8 09:58:00 2023,0,0,0,0,0,0,2,5,2,13,0,0,8,42,0,0,117,2938,248,8621,484,27269,2,5,1141,182108,698,32336,1,16,656,27459,2,9,3361,280821
Sat Apr  8 10:13:01 2023,0,0,0,0,0,0,2,5,1,5,0,0,7,41,0,0,119,2955,250,8336,485,26205,2,5,1144,181600,705,31981,2,23,656,27275,3,10,3376,278441
Sat Apr  8 10:28:01 2023,0,0,0,0,0,0,1,2,1,5,0,0,6,38,0,0,121,2806,245,8235,484,26131,1,2,1142,180177,710,32478,2,23,652,27475,3,10,3368,277382
Sat Apr  8 10:43:02 2023,0,0,0,0,0,0,1,2,2,15,0,0,6,38,0,0,117,2427,246,8126,485,25623,2,14,1142,183061,706,32209,2,23,649,27037,3,10,3361,278585
Sat Apr  8 10:58:03 2023,0,0,0,0,0,0,1,2,0,0,0,0,6,38,0,0,110,2313,247,7675,486,25869,1,2,1144,175921,708,32892,2,23,647,27088,3,10,3355,271833
Sat Apr  8 11:13:04 2023,0,0,0,0,0,0,1,2,0,0,1,4,6,38,0,0,112,2304,242,7709,483,25227,1,2,1156,166858,716,33007,2,23,647,26839,2,7,3369,262020
Sat Apr  8 11:28:05 2023,0,0,0,0,0,0,0,0,0,0,1,4,5,37,0,0,111,2104,240,6835,477,23888,1,2,1155,165614,721,32545,2,23,643,27789,2,7,3358,258848
Sat Apr  8 11:43:06 2023,0,0,0,0,0,0,0,0,0,0,1,4,6,39,0,0,107,1943,239,6814,474,26020,1,2,1152,160288,730,31823,2,23,644,27774,1,1,3357,254731
Sat Apr  8 11:58:07 2023,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,100,1770,236,6518,471,25816,1,2,1165,159232,733,30433,2,23,644,27819,1,1,3360,251645
Sat Apr  8 12:13:07 2023,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,95,1725,231,5379,470,26108,1,2,1189,158366,731,30420,1,16,645,25912,1,1,3371,247960
Sat Apr  8 12:28:09 2023,0,0,0,0,1,4,0,0,1,5,0,0,7,31,0,0,93,1688,229,4659,472,25135,1,2,1193,155748,741,27554,1,16,646,25777,1,1,3386,240620
Sat Apr  8 12:43:09 2023,0,0,0,0,1,4,0,0,2,6,0,0,5,21,0,0,88,1511,226,4678,472,25142,1,2,1208,152938,734,26395,1,16,645,25461,1,1,3384,236175
Sat Apr  8 12:58:10 2023,0,0,0,0,1,6,0,0,1,1,0,0,5,21,0,0,77,1289,228,4547,481,24903,1,2,1210,150473,738,26560,1,16,643,25181,1,1,3387,233000
Sat Apr  8 13:13:11 2023,0,0,0,0,1,6,0,0,1,1,0,0,5,21,0,0,73,1199,230,4302,483,23340,1,2,1203,148902,735,26090,1,16,645,25380,1,1,3379,229260
Sat Apr  8 13:28:11 2023,0,0,0,0,1,6,0,0,0,0,0,0,4,8,0,0,74,1213,226,4273,474,23134,1,2,1217,147318,729,25859,1,16,645,24984,1,1,3373,226814
Sat Apr  8 13:43:12 2023,0,0,0,0,1,6,0,0,0,0,0,0,3,6,0,0,73,1187,213,3998,477,22932,1,2,1221,146484,726,25317,1,16,637,24672,0,0,3353,224620
Sat Apr  8 13:58:13 2023,0,0,0,0,1,6,0,0,0,0,0,0,2,5,0,0,74,1204,211,3987,475,21688,1,2,1226,142961,717,24682,1,16,633,24504,0,0,3341,219055
Sat Apr  8 14:13:14 2023,0,0,0,0,1,6,0,0,0,0,0,0,2,5,0,0,69,1029,208,3922,477,21596,1,2,1230,139879,706,23593,1,16,631,23626,0,0,3326,213674
Sat Apr  8 14:28:14 2023,0,0,0,0,2,11,0,0,0,0,0,0,2,5,0,0,70,1053,209,3811,473,21706,1,2,1245,138474,680,23593,0,0,630,23147,0,0,3312,211802
Sat Apr  8 14:43:15 2023,0,0,0,0,3,39,0,0,0,0,0,0,3,44,0,0,71,1068,209,3790,473,21541,1,2,1242,137801,676,23493,0,0,628,22646,0,0,3306,210424
Sat Apr  8 14:58:16 2023,0,0,0,0,2,34,0,0,0,0,0,0,3,44,0,0,70,1045,209,3918,475,18864,1,2,1253,139110,667,22091,0,0,631,22146,0,0,3311,207254
Sat Apr  8 15:13:17 2023,0,0,0,0,2,34,0,0,0,0,0,0,3,44,0,0,67,992,209,3921,476,18549,1,2,1258,132747,658,23104,0,0,640,21879,0,0,3314,201272
Sat Apr  8 15:28:18 2023,0,0,0,0,2,34,0,0,0,0,0,0,3,7,0,0,65,926,207,3643,464,17405,1,2,1256,128337,652,22946,0,0,636,22111,0,0,3286,195411
Sat Apr  8 15:43:19 2023,0,0,0,0,2,11,0,0,0,0,0,0,3,7,0,0,61,889,205,3619,465,17015,0,0,1263,123220,642,22462,0,0,633,21773,0,0,3274,188996
Sat Apr  8 15:58:20 2023,0,0,0,0,2,11,0,0,0,0,0,0,3,7,0,0,60,910,201,3440,471,17578,0,0,1256,126436,645,21698,0,0,635,21108,0,0,3273,191188
Sat Apr  8 16:13:21 2023,0,0,0,0,2,11,0,0,0,0,0,0,3,7,0,0,59,796,200,3430,479,15681,0,0,1251,125700,642,21119,0,0,633,20604,0,0,3269,187348
Sat Apr  8 16:28:21 2023,0,0,0,0,1,6,0,0,0,0,0,0,3,7,0,0,56,679,192,3147,481,15328,0,0,1245,123334,637,20553,0,0,632,20572,0,0,3247,183626
Sat Apr  8 16:43:22 2023,0,0,0,0,1,6,0,0,0,0,0,0,2,5,0,0,54,658,193,5033,476,14802,0,0,1250,117503,639,19196,0,0,623,20235,0,0,3238,177438
Sat Apr  8 16:58:24 2023,0,0,0,0,1,6,1,140,0,0,0,0,2,5,0,0,51,631,193,5035,474,13802,1,5,1254,112901,632,18215,0,0,615,19590,0,0,3224,170330
Sat Apr  8 17:13:23 2023,0,0,0,0,1,6,1,140,0,0,0,0,2,5,0,0,45,566,189,4922,480,13926,1,5,1262,111853,629,18011,0,0,621,19177,0,0,3231,168611
Sat Apr  8 17:28:23 2023,0,0,0,0,1,6,1,140,0,0,0,0,2,5,0,0,46,577,186,4916,501,13343,1,5,1261,110950,619,18773,0,0,616,18973,0,0,3234,167688
Sat Apr  8 17:43:24 2023,0,0,0,0,1,6,1,140,0,0,0,0,2,5,0,0,43,520,183,4696,506,13190,1,5,1257,106934,616,18446,0,0,615,18267,0,0,3225,162209
Sat Apr  8 17:58:25 2023,0,0,0,0,1,6,1,140,0,0,0,0,2,6,0,0,41,509,180,4486,500,13278,1,5,1275,104899,616,18544,0,0,615,18575,0,0,3232,160448
Sat Apr  8 18:13:26 2023,0,0,0,0,2,7,1,140,0,0,0,0,3,10,0,0,40,497,174,4463,500,13162,1,5,1268,101030,613,18204,0,0,605,18727,0,0,3207,156245
Sat Apr  8 18:28:27 2023,0,0,0,0,2,7,1,140,0,0,0,0,3,10,0,0,37,466,173,4446,491,12791,1,5,1270,98740,612,17991,0,0,612,18186,0,0,3202,152782
Sat Apr  8 18:43:27 2023,0,0,0,0,2,7,1,140,0,0,0,0,1,4,0,0,36,461,157,4214,487,12050,1,5,1256,98660,616,17791,0,0,605,17946,0,0,3162,151278
Sat Apr  8 18:58:29 2023,0,0,0,0,2,7,0,0,0,0,0,0,1,4,0,0,33,467,154,2241,486,12034,1,5,1263,95095,618,15999,0,0,600,17601,0,0,3158,143453
Sat Apr  8 19:13:30 2023,0,0,0,0,1,1,1,8,0,0,0,0,1,4,0,0,31,438,151,2114,484,11987,1,5,1265,91363,615,15803,0,0,594,17396,0,0,3144,139119
Sat Apr  8 19:28:31 2023,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,31,438,141,1935,473,11413,1,5,1270,94865,613,15708,0,0,602,17431,0,0,3132,141796
Sat Apr  8 19:43:31 2023,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,29,421,141,1941,474,11472,1,5,1261,90157,607,14848,0,0,591,17005,0,0,3105,135850
Sat Apr  8 19:58:33 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,403,143,1950,473,10881,0,0,1259,87864,610,14865,0,0,593,16421,0,0,3106,132384
Sat Apr  8 20:13:33 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,389,137,1826,470,11078,0,0,1267,89711,598,16166,0,0,594,15813,0,0,3092,134983
Sat Apr  8 20:28:34 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,377,134,1747,470,11019,0,0,1271,87465,601,14491,0,0,594,15808,0,0,3095,130907
Sat Apr  8 20:43:35 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,310,128,1648,470,11010,0,0,1282,84870,599,14324,0,0,588,15487,0,0,3090,127649
Sat Apr  8 20:58:35 2023,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,22,301,127,1636,469,11214,0,0,1279,85984,595,14090,0,0,587,15539,0,0,3080,128772
Sat Apr  8 21:13:36 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,301,127,1650,469,11137,0,0,1268,87491,584,13724,0,0,584,15509,0,0,3054,129812
Sat Apr  8 21:28:38 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,21,248,127,1650,469,10848,0,0,1265,92451,581,13674,0,0,580,15932,0,0,3044,134812
Sat Apr  8 21:43:39 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,20,260,125,1656,470,10734,0,0,1271,92683,583,13651,0,0,582,15939,0,0,3052,134932
Sat Apr  8 21:58:39 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,19,247,124,1655,471,10740,0,0,1267,92974,580,13561,0,0,582,15934,0,0,3044,135120
Sat Apr  8 22:13:40 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,17,208,116,1531,473,10581,0,0,1265,92748,581,13556,0,0,582,15420,0,0,3035,134053
Sat Apr  8 22:28:41 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,17,208,112,1484,468,10547,0,0,1273,91229,583,13575,0,0,583,15463,0,0,3037,132515
Sat Apr  8 22:43:43 2023,1,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,19,229,112,1484,466,10416,0,0,1276,91331,582,13474,0,0,598,15401,0,0,3055,132347
Sat Apr  8 22:58:44 2023,1,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,19,229,110,1443,470,10052,0,0,1280,88293,582,13452,0,0,609,15333,0,0,3072,128814
Sat Apr  8 23:13:44 2023,1,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,18,227,110,1443,466,9937,0,0,1292,88598,583,13442,0,0,608,14998,0,0,3079,128657
Sat Apr  8 23:28:45 2023,1,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,18,227,110,1444,467,9947,0,0,1302,83956,584,13448,0,0,609,14978,0,0,3092,124012
Sat Apr  8 23:43:46 2023,1,3,0,0,0,0,0,0,0,0,0,0,1,9,0,0,17,219,110,1444,462,9922,0,0,1303,83976,584,13399,0,0,599,14701,0,0,3077,123673
Sat Apr  8 23:58:47 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,17,219,108,1415,457,9821,0,0,1306,83569,585,13201,0,0,582,14655,0,0,3056,122889
Sun Apr  9 00:13:47 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,16,215,108,1415,457,9821,2,233,1305,83452,581,13150,0,0,578,14614,0,0,3048,122909
Sun Apr  9 00:28:48 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,16,215,108,1415,456,9577,2,233,1305,83115,583,13065,0,0,579,14619,0,0,3050,122248
Sun Apr  9 00:43:49 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,16,215,109,1421,456,9577,2,233,1301,82072,584,13078,0,0,576,14237,0,0,3045,120842
Sun Apr  9 00:58:50 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,215,109,1421,456,9577,2,233,1305,81712,585,13095,0,0,573,14230,0,0,3047,120484
Sun Apr  9 01:13:50 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,215,109,1421,455,9424,0,0,1306,81409,586,13136,0,0,573,14230,0,0,3045,119835
Sun Apr  9 01:28:51 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,215,109,1421,451,9246,0,0,1307,81539,586,13136,0,0,573,14230,0,0,3042,119787
Sun Apr  9 01:43:52 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,167,107,1393,444,8980,0,0,1306,81409,586,13136,0,0,572,14167,0,0,3029,119252
Sun Apr  9 01:58:53 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,167,107,1396,426,8559,0,0,1306,81409,585,12403,0,0,566,14006,0,0,3004,117940
Sun Apr  9 02:13:54 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,167,107,1396,405,8152,0,0,1306,81409,591,12480,0,0,559,13834,0,0,2982,117438
Sun Apr  9 02:28:55 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,107,1396,381,7836,0,0,1306,81075,592,12671,0,0,551,13724,0,0,2950,116851
Sun Apr  9 02:43:56 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,105,1332,368,7700,0,0,1301,80979,594,12667,0,0,548,13694,0,0,2929,116521
Sun Apr  9 02:58:57 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,104,1326,350,7540,0,0,1295,80783,595,12675,0,0,545,13668,0,0,2902,116141
Sun Apr  9 03:13:58 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,104,1319,346,7514,0,0,1288,80696,595,12675,0,0,530,13547,0,0,2876,115900
Sun Apr  9 03:28:59 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,103,1310,340,7467,0,0,1282,80664,594,12664,0,0,519,13642,0,0,2851,115896
Sun Apr  9 03:44:00 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,102,1290,339,7374,0,0,1276,80564,594,12664,0,0,514,13612,0,0,2838,115653
Sun Apr  9 03:59:01 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,159,101,1285,339,7374,0,0,1269,79461,594,12664,0,0,514,13612,0,0,2831,114555
Sun Apr  9 04:14:02 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,159,101,1285,339,7374,0,0,1265,79504,594,12664,0,0,514,13612,0,0,2827,114598
Sun Apr  9 04:29:03 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,159,101,1285,339,7374,0,0,1265,79504,595,12679,0,0,512,13552,0,0,2826,114553
Sun Apr  9 04:44:04 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,159,101,1285,339,7374,0,0,1266,79611,595,12679,0,0,511,13545,0,0,2826,114653
Sun Apr  9 04:59:05 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,101,1285,339,7374,0,0,1260,78888,595,12679,0,0,511,13545,0,0,2819,113920
Sun Apr  9 05:14:05 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,101,1285,339,7374,0,0,1256,78503,595,12679,0,0,512,13562,0,0,2816,113552
Sun Apr  9 05:29:06 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,149,101,1285,339,7374,0,0,1256,78503,595,12679,0,0,512,13562,0,0,2816,113552
Sun Apr  9 05:44:07 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,100,1283,338,7278,0,0,1254,78485,595,12679,0,0,511,13676,0,0,2812,113554
Sun Apr  9 05:59:08 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,100,1283,338,7278,0,0,1250,78185,596,12693,0,0,511,13676,0,0,2809,113268
Sun Apr  9 06:14:09 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,97,1263,338,7290,0,0,1251,78222,596,12753,0,0,511,13676,0,0,2807,113357
Sun Apr  9 06:29:10 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,97,1263,338,7290,0,0,1251,78247,593,12722,0,0,511,13790,0,0,2804,113465
Sun Apr  9 06:44:11 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,153,98,1271,339,7298,0,0,1246,78041,594,12867,0,0,509,13734,0,0,2800,113364
Sun Apr  9 06:59:12 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,14,153,98,1271,342,7253,0,0,1248,78109,577,13432,0,0,509,13734,0,0,2789,113988
Sun Apr  9 07:14:13 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,14,153,98,1271,341,7241,0,0,1248,78104,578,13445,0,0,509,13736,0,0,2789,113986
Sun Apr  9 07:29:14 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,13,149,96,1251,341,7241,0,0,1247,78058,577,13426,0,0,508,13633,0,0,2783,113794
Sun Apr  9 07:44:15 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,3,13,149,95,1236,333,7211,0,0,1231,97721,579,13432,0,0,509,13758,0,0,2762,133546
Sun Apr  9 07:59:15 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,3,14,154,96,1237,331,7171,0,0,1243,97995,577,13133,0,0,508,14130,0,0,2771,133859
Sun Apr  9 08:14:16 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,13,149,94,1223,329,7121,0,0,1244,98106,576,13136,0,0,510,13721,0,0,2767,133492
Sun Apr  9 08:29:17 2023,0,0,0,0,1,96,0,0,0,0,0,0,1,36,0,0,14,152,93,1216,331,7047,0,0,1240,98302,576,13169,0,0,515,13606,0,0,2771,133624
Sun Apr  9 08:44:18 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,14,152,93,1216,328,6918,0,0,1244,97158,575,13116,0,0,516,13661,0,0,2771,132257
Sun Apr  9 08:59:18 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,15,160,91,1188,326,6890,0,0,1254,82743,575,13080,0,0,514,13542,0,0,2776,117639
Sun Apr  9 09:14:19 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,15,160,90,1158,323,6679,0,0,1250,82715,573,12974,0,0,512,13468,0,0,2764,117190
Sun Apr  9 09:29:20 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,16,893,90,1158,321,6648,0,0,1234,82024,572,12989,0,0,509,13474,0,0,2743,117222
Sun Apr  9 09:44:21 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,16,945,91,1163,314,6560,0,0,1240,81263,575,12519,0,0,503,13444,0,0,2740,115930
Sun Apr  9 09:59:22 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,15,223,89,1152,315,6569,0,0,1245,81339,585,12760,0,0,501,13398,0,0,2751,115477
Sun Apr  9 10:14:23 2023,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,15,1250,87,1113,327,6406,0,0,1245,80425,582,12360,0,0,499,13188,0,0,2756,114778
Sun Apr  9 10:29:24 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1198,86,1108,319,6587,0,0,1249,79931,564,12618,0,0,499,12788,0,0,2734,114230
Sun Apr  9 10:44:25 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1213,87,1155,316,6541,0,0,1248,79536,561,12612,0,0,498,12906,0,0,2727,113963
Sun Apr  9 10:59:25 2023,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,18,287,83,1089,317,6529,0,0,1237,79141,559,12386,0,0,495,12870,0,0,2710,112309
Sun Apr  9 11:14:26 2023,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,16,226,82,1014,316,6421,0,0,1227,79928,540,12384,0,0,494,12697,0,0,2676,112677
Sun Apr  9 11:29:27 2023,0,0,0,0,2,13,0,0,0,0,0,0,1,1,0,0,16,226,81,973,316,6408,0,0,1229,77135,527,12503,0,0,493,12675,0,0,2665,109934
Sun Apr  9 11:44:27 2023,0,0,0,0,2,13,0,0,1,3,0,0,1,1,0,0,16,226,79,926,305,6418,0,0,1213,76298,522,12338,0,0,486,12308,0,0,2625,108531
Sun Apr  9 11:59:28 2023,0,0,0,0,2,13,0,0,1,3,0,0,1,1,0,0,16,226,79,912,303,6291,0,0,1201,76059,524,12112,0,0,491,12431,0,0,2618,108048
Sun Apr  9 12:14:29 2023,0,0,0,0,2,13,1,3,1,3,0,0,1,1,0,0,15,223,75,857,303,6285,0,0,1186,73555,503,11706,0,0,490,12379,0,0,2577,105025
Sun Apr  9 12:29:29 2023,0,0,0,0,2,13,0,0,1,3,0,0,1,1,0,0,15,223,74,950,300,6198,0,0,1174,70578,495,11311,0,0,489,12326,0,0,2551,101603
Sun Apr  9 12:44:30 2023,0,0,0,0,2,13,0,0,1,3,0,0,0,0,0,0,15,223,71,903,299,5902,0,0,1166,70002,499,11343,0,0,474,11895,0,0,2527,100284
Sun Apr  9 12:59:31 2023,0,0,0,0,2,9,1,3,1,3,0,0,0,0,0,0,13,208,70,851,298,5950,0,0,1156,69398,490,10862,0,0,471,11717,0,0,2502,99001
Sun Apr  9 13:14:32 2023,0,0,0,0,2,9,1,3,1,3,0,0,0,0,0,0,11,158,66,817,301,5912,0,0,1146,68660,489,10749,0,0,469,11711,0,0,2486,98022
Sun Apr  9 13:29:33 2023,0,0,0,0,4,8650,1,3,1,3,0,0,0,0,0,0,11,158,66,812,296,5605,0,0,1141,66589,485,11333,0,0,465,11541,0,0,2470,104694
Sun Apr  9 13:44:34 2023,0,0,0,0,3,93,1,3,1,3,0,0,0,0,0,0,10,138,64,678,293,5548,0,0,1140,65841,481,11008,0,0,464,11548,0,0,2457,94860
Sun Apr  9 13:45:57 2023,0,0,0,0,3,93,1,3,1,3,0,0,0,0,0,0,10,138,64,678,293,5548,0,0,1140,65841,481,11008,0,0,464,11548,0,0,2457,94860
Sun Apr  9 13:54:08 2023,0,0,0,0,3,93,1,3,1,3,0,0,0,0,0,0,10,138,64,678,293,5548,0,0,1140,65841,481,11008,0,0,464,11548,0,0,2457,94860
Sun Apr  9 14:09:09 2023,0,0,0,0,2,45,1,3,1,3,0,0,0,0,0,0,11,152,59,622,292,5447,0,0,1119,63797,479,10615,0,0,456,11289,0,0,2420,91973
Sun Apr  9 14:24:10 2023,0,0,0,0,1,7,1,3,1,3,0,0,0,0,0,0,11,152,59,617,288,5323,0,0,1118,63204,476,10551,0,0,450,11788,0,0,2405,91648
Sun Apr  9 14:39:10 2023,0,0,0,0,1,7,1,3,1,3,0,0,0,0,0,0,11,152,59,617,288,5323,0,0,1118,63204,476,10551,0,0,450,11788,0,0,2405,91648
Sun Apr  9 14:54:11 2023,0,0,0,0,1,7,0,0,1,3,0,0,0,0,0,0,10,136,55,660,284,5115,0,0,1112,61800,468,10416,1,4,438,11621,0,0,2370,89762
Sun Apr  9 15:09:12 2023,0,0,0,0,1,7,1,3,1,3,0,0,0,0,0,0,9,122,54,674,282,5033,0,0,1107,60157,462,10333,1,4,439,11523,0,0,2357,87859
Sun Apr  9 15:24:13 2023,0,0,0,0,1,7,1,3,1,3,0,0,0,0,0,0,8,121,50,577,282,4725,0,0,1098,59486,455,9293,1,4,435,11281,0,0,2332,85500
Sun Apr  9 15:39:14 2023,0,0,0,0,1,7,1,3,1,3,0,0,0,0,0,0,7,1047,48,562,283,4740,0,0,1094,59055,448,9166,0,0,432,10816,0,0,2315,85399
Sun Apr  9 15:54:15 2023,0,0,0,0,1,7,0,0,1,3,0,0,1,2,0,0,7,1047,47,550,284,4998,0,0,1102,61121,445,9129,0,0,428,9951,0,0,2316,86808
Sun Apr  9 16:09:16 2023,0,0,0,0,1,7,0,0,1,3,0,0,1,2,0,0,7,1047,42,498,282,4924,0,0,1081,60651,434,8818,0,0,426,9629,0,0,2275,85579
Sun Apr  9 16:24:16 2023,0,0,0,0,1,7,0,0,1,3,0,0,1,2,0,0,7,1047,37,438,282,4922,0,0,1081,60384,422,8502,0,0,423,9644,0,0,2255,84949
Sun Apr  9 16:39:17 2023,0,0,0,0,1,7,0,0,1,3,0,0,1,2,0,0,8,1206,39,444,287,4835,0,0,1060,59246,419,8503,0,0,420,9469,0,0,2236,83715
Sun Apr  9 16:54:18 2023,0,0,0,0,1,7,0,0,1,3,0,0,1,2,0,0,8,1206,39,444,287,4835,0,0,1060,59246,419,8503,0,0,420,9469,0,0,2236,83715
Sun Apr  9 17:09:19 2023,0,0,0,0,1,7,0,0,1,3,0,0,0,0,0,0,6,710,35,397,286,4271,0,0,1054,48186,400,8086,0,0,407,8894,0,0,2190,70554
Sun Apr  9 17:24:20 2023,0,0,0,0,1,7,0,0,1,3,0,0,0,0,0,0,5,193,33,371,284,4185,0,0,1046,44671,388,7800,0,0,406,8640,0,0,2164,65870
Sun Apr  9 17:39:21 2023,0,0,0,0,1,7,0,0,1,3,0,0,0,0,0,0,5,193,33,371,284,4185,0,0,1046,44671,388,7800,0,0,406,8640,0,0,2164,65870
Sun Apr  9 17:54:22 2023,0,0,0,0,2,57,0,0,2,5,0,0,0,0,0,0,5,193,32,400,273,4126,0,0,1024,42282,375,7479,0,0,388,8008,0,0,2101,62550
Sun Apr  9 18:09:23 2023,0,0,0,0,2,57,0,0,2,5,0,0,0,0,0,0,4,34,30,388,272,4117,0,0,1009,41478,360,7313,0,0,381,7919,0,0,2060,61311
Sun Apr  9 18:24:24 2023,0,0,0,0,2,57,0,0,2,5,0,0,0,0,0,0,4,34,30,388,272,4117,0,0,1009,41478,360,7313,0,0,381,7919,0,0,2060,61311
Sun Apr  9 18:39:25 2023,0,0,0,0,2,57,0,0,1,3,0,0,0,0,0,0,3,24,25,258,265,3991,0,0,981,40804,347,6898,0,0,368,7713,0,0,1992,59748
Sun Apr  9 18:54:26 2023,0,0,0,0,2,57,0,0,1,3,0,0,0,0,0,0,2,22,24,251,263,3806,0,0,978,40863,330,6550,0,0,348,6430,0,0,1948,57982
Sun Apr  9 19:09:27 2023,0,0,0,0,2,57,0,0,1,3,0,0,0,0,0,0,2,22,25,259,259,3718,0,0,969,38835,329,6512,0,0,365,7484,0,0,1952,56890
Sun Apr  9 19:24:28 2023,0,0,0,0,2,57,0,0,1,3,0,0,0,0,0,0,2,22,23,238,257,3676,0,0,960,38460,324,6370,0,0,356,7409,0,0,1925,56235
