time,Abitibi-Témiscamingue interruptions,Abitibi-Témiscamingue customers,Bas-Saint-Laurent interruptions,Bas-Saint-Laurent customers,Capitale-Nationale interruptions,Capitale-Nationale customers,Centre-du-Québec interruptions,Centre-du-Québec customers,Chaudière-Appalaches interruptions,Chaudière-Appalaches customers,Côte-Nord interruptions,Côte-Nord customers,Estrie interruptions,Estrie customers,Gaspésie - Îles-de-la-Madeleine interruptions,Gaspésie - Îles-de-la-Madeleine customers,Lanaudière interruptions,Lanaudière customers,Laurentides interruptions,Laurentides customers,Laval interruptions,Laval customers,Mauricie interruptions,Mauricie customers,Montréal interruptions,Montréal customers,Montérégie interruptions,Montérégie customers,Nord-du-Québec interruptions,Nord-du-Québec customers,Outaouais interruptions,Outaouais customers,Saguenay - Lac-Saint-Jean interruptions,Saguenay - Lac-Saint-Jean customers,Across Québec interruptions,Across Québec customers
Mon Apr 10 20:41:16 2023,0,0,0,0,1,2,1,3,0,0,0,0,1,56,0,0,3,50,4,17,86,1079,0,0,353,14740,87,1599,0,0,133,2059,0,0,669,19605
Mon Apr 10 20:56:17 2023,0,0,0,0,1,2,1,3,1,1,0,0,1,56,0,0,3,50,4,17,88,1102,0,0,341,14385,86,1579,0,0,140,2235,0,0,666,19430
Mon Apr 10 21:11:18 2023,0,0,0,0,1,2,1,3,1,1,0,0,1,56,0,0,3,50,4,17,90,1132,0,0,336,14352,82,1550,0,0,134,2209,0,0,653,19372
Mon Apr 10 21:26:19 2023,0,0,0,0,1,2,0,0,1,1,0,0,1,56,0,0,3,50,5,19,91,1146,0,0,335,11670,82,1550,0,0,134,2226,0,0,653,16720
Mon Apr 10 21:41:20 2023,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,4,55,5,19,88,1104,0,0,330,11454,81,1535,0,0,134,2226,0,0,644,16396
Mon Apr 10 21:56:21 2023,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,2,41,4,17,88,1143,0,0,329,11284,80,1532,0,0,134,2226,1,161,640,16407
Mon Apr 10 22:11:22 2023,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,4,17,87,1105,0,0,326,10718,80,1532,0,0,134,2214,1,161,635,15751
Mon Apr 10 22:26:24 2023,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,4,17,88,1117,0,0,327,9731,80,1532,0,0,133,2174,1,161,636,14736
Mon Apr 10 22:41:25 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,85,1073,0,0,326,9818,81,1539,0,0,133,2174,1,161,631,14783
Mon Apr 10 22:56:26 2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,17,84,1069,0,0,327,9773,79,1528,0,0,134,2182,0,0,629,14570
